incident_id,incident_text,veris_actor,veris_action,veris_asset,veris_attribute,expert_attack_ids,notes
0001AA7F-C601-424A-B2B8-BE6C9F5164E7,A billing clerk filed a claim for Patient A without consent to bill for 7332 protected health information. The bill has been cancelled.,"[""internal.motive:Unknown"", ""internal.variety:Unknown""]","[""misuse.variety:Privilege abuse"", ""misuse.vector:LAN access""]","[""assets.variety:S - Database"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:1"", ""integrity.variety:Fraudulent transaction""]",,
0eb22d90-8e87-11ec-a600-657ec2694f8f,Presitge Software accidently misconfigured their s3 buckets,"[""internal.motive:NA"", ""internal.variety:System admin""]","[""error.variety:Misconfiguration"", ""error.vector:Carelessness""]","[""assets.amount:1"", ""assets.variety:S - File"", ""cloud:External Cloud Asset(s)"", ""role:IT"", ""total_amount:1""]","[""confidentiality.data.variety:Payment"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Customer"", ""confidentiality.state:Stored""]",,
0008DADB-E83D-4278-A19A-CEE01610CF43,"Patients at an Oregon healthcare facility were notified this week that their protected health information (PHI) was potentially exposed after the theft of an employee laptop. A Corvallis Clinic employee was attending a work-related conference in Portland in mid-November and had a personal laptop in their locked car. The laptop contained limited health information, according to a privacy disclosure posted on the Corvallis website.2014-01-27-873331","[""external.country:Unknown"", ""external.motive:Financial"", ""external.region:000000"", ""external.variety:Unknown""]","[""physical.variety:Theft"", ""physical.vector:Personal vehicle""]","[""assets.variety:U - Desktop or laptop"", ""assets.variety:U - Laptop"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Stored unencrypted""]",,
000D403E-2DC9-4EA7-9294-BD3938D1C3C7,"Jersey City Medical Center said a computer disk containing 2011 Medicaid patient information was lost in June when a package sent via United Parcel Service failed to arrive. The medical center, part of the Barnabas Health system, said that on June 13, 2014, it sent the disk to a company engaged by New Jersey Medicaid to help the state review certain types of payments to hospitals in New Jersey. The unencrypted CD was scheduled to be delivered Jun","[""partner.country:Unknown"", ""partner.industry:000"", ""partner.motive:Unknown"", ""partner.notes:Medi-Waste Disposal"", ""partner.region:000000""]","[""error.variety:Loss"", ""error.vector:Unknown""]","[""assets.variety:M - Disk media"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Stored unencrypted""]",,
0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,"Sensitive information belonging to jobseekers has been put at risk on the government's new Universal Jobmatch website, it has been reported. The security flaw was uncovered during a Channel 4 News investigation. Hackers were said to have been able to register as an employer on the site which is accessed through the Gov.uk portal – another website that has just been launched by the government to deliver more public services online. The hackers wer","[""external.country:Unknown"", ""external.motive:Financial"", ""external.region:000000"", ""external.variety:Unknown""]","[""hacking.variety:Exploit vuln"", ""hacking.variety:Other"", ""hacking.vector:Web application""]","[""assets.variety:S - Web application"", ""cloud:Unknown""]","[""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Customer"", ""confidentiality.state:Stored unencrypted""]",T1190,
00163384-B4D7-46D5-9E6F-543DFB00F598,"Veteran A returned a hard copy written prescription order for Veteran B that he received along with his appointment letter. The prescription order contained Veteran B's name, address, date of birth and medication information. This is informational for Mis-Handling incidents and is the representative ticket. There were a total of 87 Mis-Handling incidents this reporting period. Because of repetition, the other 86 are not included in this report, b","[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]","[""assets.variety:M - Documents"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:87""]",,
00163384-B4D7-46D5-9E6F-543DFB00F598,"Veteran A returned a hard copy written prescription order for Veteran B that he received along with his appointment letter. The prescription order contained Veteran B's name, address, date of birth and medication information. This is informational for Mis-Handling incidents and is the representative ticket. There were a total of 87 Mis-Handling incidents this reporting period. Because of repetition, the other 86 are not included in this report, b","[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]","[""assets.variety:M - Documents"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:87""]",,
9eda6e80-de98-11e7-9424-7b935f12be98,Officials say an employee database was hacked at Lexington Medical Center. Thousands of records have been exposed including social security numbers and W-2 forms of current and former employees.,"[""external.country:US"", ""external.motive:Financial"", ""external.region:019021"", ""external.variety:Other""]","[""hacking.variety:Unknown"", ""hacking.vector:Web application""]","[""assets.amount:1"", ""assets.variety:S - Web application"", ""cloud:Unknown"", ""country:US"", ""notes:Following enumerations present before veris 1.3.3 removed: asset.governance.Personally owned."", ""total_amount:1""]","[""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Employee"", ""confidentiality.state:Stored""]",T1190,
00224226-4A39-435C-BFFD-672B5D61C7C1,leaked info from Azerbaijan electrical producer,"[""external.country:Unknown"", ""external.motive:Ideology"", ""external.region:000000"", ""external.variety:Activist""]","[""hacking.variety:Unknown"", ""hacking.vector:Web application""]","[""assets.variety:S - Web application"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.variety:Internal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.notes:article says 7 GB's of sensitive data. no other details."", ""confidentiality.state:Unknown""]",T1190,
002599D4-A872-433B-9980-BD9F257B283F,"A group of patients filed a class-action lawsuit against Sutter Health this week, after it was revealed a laptop containing information on more than 4 million patients was stolen from the headquarters of the Sutter Medical Foundation (SMF) in Natomas, California.","[""external.country:Unknown"", ""external.motive:Unknown"", ""external.region:000000"", ""external.variety:Unknown""]","[""physical.variety:Theft"", ""physical.vector:Unknown""]","[""assets.variety:U - Desktop"", ""assets.variety:U - Desktop or laptop"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.amount:4243434"", ""confidentiality.data.variety:Medical"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_total:943434""]",,
da0b05e0-ad29-11e8-9e5a-c1f99505e93a,"The Wisconsin Department of Health Services (DHS) and The Management Group (TMG) are notifying IRIS participants of a breach of information due to theft of a laptop and a work bag of a TMG IRIS Consultant on Feb. 5, 2018","[""external.country:Unknown"", ""external.motive:Unknown"", ""external.region:000000"", ""external.variety:Unaffiliated"", ""partner.country:US"", ""partner.industry:000"", ""partner.motive:NA"", ""partner.region:019021""]","[""misuse.variety:Data mishandling"", ""misuse.vector:Unknown"", ""physical.variety:Theft"", ""physical.vector:Unknown""]","[""assets.amount:1"", ""assets.variety:U - Desktop or laptop"", ""assets.variety:U - Laptop"", ""cloud:Unknown""]","[""availability.duration.unit:Never"", ""availability.variety:Loss"", ""confidentiality.data.amount:1"", ""confidentiality.data.amount:779"", ""confidentiality.data.variety:Credentials"", ""confidentiality.data.variety:Medical"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:779"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Printed"", ""confidentiality.state:Stored encrypted""]",,
39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,default password exploited,"[""external.country:Unknown"", ""external.motive:Fun"", ""external.region:000000"", ""external.variety:Unaffiliated"", ""external.variety:Unknown""]","[""hacking.notes:it was as easy as using a commonly used password, that is often the default code that never gets changed"", ""hacking.variety:Brute force"", ""hacking.vector:Web application""]","[""assets.variety:S - Web application"", ""cloud:Unknown""]","[""confidentiality.data.variety:Internal"", ""confidentiality.data.variety:Other"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.state:Stored""]",T1110;T1078,
0036051E-171D-4F39-9EED-55C526B24E63,"Veteran A received information on Veteran B in the mail from the Release of Information (ROI) Department. Veteran A returned the information to the Community Based Outpatient Clinic (CBOC), so that it could be returned to the correct Veteran. The information contained Veteran B's name, address, full SSN and diagnosis.","[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]","[""assets.variety:M - Documents"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Unknown"", ""confidentiality.data_total:1""]",,
E12ACA81-EFCF-4096-8D2D-4D54E9898077,MOVEit vulnerability exploited. Data stolen.,"[""external.country:RU"", ""external.motive:Financial"", ""external.name:Cl0p ransomware group"", ""external.region:150151"", ""external.variety:Organized crime""]","[""hacking.cve:CVE-2023-34362; CVE-2023-35036; CVE-2023-35708"", ""hacking.notes:Exploited software vulnerability in the third party file transfer solution (MOVEit)\nVERIS 1_3_7 to 1_4_0 Migration script, to fix extortion and ransomware attacks"", ""hacking.result:Infiltrate"", ""hacking.variety:Backdoor"", ""hacking.variety:Exploit vuln"", ""hacking.vector:Web application"", ""malware.notes:VERIS 1_3_7 to 1_4_0 Migration script, to fix extortion and ransomware attacks"", ""malware.result:Exfiltrate"", ""malware.variety:Backdoor"", ""malware.variety:Backdoor or C2"", ""malware.variety:Ransomware"", ""malware.vector:Direct install"", ""malware.vector:Remote injection""]","[""assets.variety:S - File"", ""assets.variety:S - Web application"", ""cloud:On-Premise Asset(s)"", ""role:IT""]","[""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Customer"", ""confidentiality.state:Stored unencrypted"", ""integrity.variety:Software installation""]",T1190,
d2f15020-8c28-11e7-944b-11adeb58a7b0,Nurse stole payment card from patient.,"[""internal.motive:Financial"", ""internal.variety:Other""]","[""physical.notes:VERIS 1_3_7 to 1_4_0 Migration script to remove privileged access"", ""physical.variety:Theft"", ""physical.vector:Victim secure area""]","[""assets.amount:1"", ""assets.variety:M - Payment card"", ""cloud:Unknown"", ""total_amount:1""]","[""availability.duration.unit:Never"", ""availability.variety:Loss"", ""confidentiality.data.amount:1"", ""confidentiality.data.variety:Payment"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:1"", ""confidentiality.data_victim:Patient""]",,
003F5B6A-CA75-4694-AA76-FE9498FF0C3E,IRS employee leaks confidential information from a political group's tax returns.,"[""internal.motive:Ideology"", ""internal.variety:Unknown""]","[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access""]","[""assets.variety:U - Desktop"", ""assets.variety:U - Desktop or laptop"", ""cloud:Unknown""]","[""confidentiality.data.variety:Internal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Customer"", ""confidentiality.state:Unknown""]",,
f711e1f0-a38d-11e7-a67b-81fbdaca3f85,"Data breach made public, Ridgeview Medical Center says it exposed some email addresses","[""internal.motive:Other"", ""internal.variety:Human resources""]","[""error.variety:Gaffe"", ""error.vector:Carelessness""]","[""assets.variety:S - Mail"", ""cloud:Unknown"", ""total_amount:1""]","[""confidentiality.data.variety:Other"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Transmitted""]",,
004BC977-E210-4AF8-8778-572E168A7B9E,Loss of portable electronic device,"[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Loss"", ""error.vector:Unknown""]","[""assets.variety:M - Flash drive"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.amount:507"", ""confidentiality.data.variety:Medical"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_total:507"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Stored unencrypted""]",,
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,,"[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Disposal error"", ""error.vector:Unknown""]","[""assets.variety:M - Documents"", ""cloud:Unknown""]","[""confidentiality.data.amount:12000"", ""confidentiality.data.variety:Medical"", ""confidentiality.data.variety:Payment"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_total:12000""]",,
7FBE1079-2038-4742-AD27-9F247E00D4D7,insider cop leaked infor,"[""external.country:PK"", ""external.country:Unknown"", ""external.motive:Espionage"", ""external.region:142034"", ""external.variety:Nation-state"", ""external.variety:Unknown"", ""internal.job_change:Hired"", ""internal.motive:Unknown"", ""internal.variety:Unknown""]","[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access"", ""social.target:Manager"", ""social.variety:Pretexting"", ""social.vector:Phone""]","[""assets.variety:P - Manager"", ""assets.variety:S - Mail"", ""cloud:Unknown""]","[""confidentiality.data.variety:Internal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.notes:deployment dates of Police"", ""confidentiality.state:Unknown"", ""integrity.variety:Alter behavior""]",T1190,
